TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,KEY_TYPE,CONSTRAINT_NAME
v_ExtensionsData,defID,int,NULL,NULL,NULL
v_ExtensionsData,AppRecID,int,NULL,NULL,NULL
v_ExtensionsData,ExtensionName,varchar,50,NULL,NULL
v_ExtensionsData,FieldName,varchar,150,NULL,NULL
v_ExtensionsData,field_updateDateUTC,datetime,NULL,NULL,NULL
v_ExtensionsData,refID,int,NULL,NULL,NULL
v_ExtensionsData,fieldValue,nvarchar,-1,NULL,NULL
v_ExtensionsData,value_updateDateUTC,datetime,NULL,NULL,NULL
tblAuditPending_Status,pendingStatusID,int,NULL,PRIMARY KEY,PK_pendingStatusID_tblAuditPending_Status
tblAuditPending_Status,StatusID,smallint,NULL,FOREIGN KEY,FK_StatusID_tblAuditPending_Status
tblAuditPending_Status,tblAuditID,int,NULL,NULL,NULL
tblAuditPending_Status,Title,nvarchar,200,NULL,NULL
tblAuditPending_Status,createdDateUTC,datetime,NULL,NULL,NULL
tblAuditPending_Status,CreatedBy,nvarchar,150,NULL,NULL
tblAuditPending_Status,UpdatedBy,nvarchar,150,NULL,NULL
tblAuditPending_Status,updateDateUTC,datetime,NULL,NULL,NULL
tblAudit_Step_Pending,Orgname,nvarchar,50,FOREIGN KEY,FK_TblAudit_Step_Pending_tblAudit_Pending
tblAudit_Step_Pending,Location,nvarchar,50,FOREIGN KEY,FK_TblAudit_Step_Pending_tblAudit_Pending
tblAudit_Step_Pending,ID,int,NULL,FOREIGN KEY,FK_TblAudit_Step_Pending_tblAudit_Pending
tblAudit_Step_Pending,Step_ID,int,NULL,NULL,NULL
tblAudit_Step_Pending,Step_Description,nvarchar,1500,NULL,NULL
tblAudit_Step_Pending,Step_ResponPerson,nvarchar,150,NULL,NULL
tblAudit_Step_Pending,Step_ClosureDueDate,datetime,NULL,NULL,NULL
tblAudit_Step_Pending,Step_Status,nvarchar,15,NULL,NULL
tblAudit_Step_Pending,Step_CloseDate,datetime,NULL,NULL,NULL
tblAudit_Step_Pending,Step_CloseComment,nvarchar,1500,NULL,NULL
tblAudit_Step_Pending,UpdateDate,datetime,NULL,NULL,NULL
tblAudit_Step_Pending,UpdateBy,nvarchar,150,NULL,NULL
tblAudit_Step_Pending,UpdateHistory,ntext,1073741823,NULL,NULL
tblAudit_Step_Pending,MXWasChecked,bit,NULL,NULL,NULL
tblAudit_Step_Pending,MXHasDouble,bit,NULL,NULL,NULL
tblAudit_Step_Pending,MXWasUpdated,bit,NULL,NULL,NULL
tblAudit_Step_Pending,MXEncode,varchar,30,NULL,NULL
tblAudit_Step_Pending,tblAuditStepID,int,NULL,PRIMARY KEY,PK_TblAudit_Step_pending
tblAudit_Step_Pending,step_findingtype,nvarchar,100,NULL,NULL
tblAudit_Step_Pending,step_category,nvarchar,255,NULL,NULL
tblAudit_Step_Pending,Step_RootCause,nvarchar,600,NULL,NULL
tblAudit_Step_Pending,updateDateUTC,datetime,NULL,NULL,NULL
TblAudit_Step,Orgname,nvarchar,50,FOREIGN KEY,FK_TblAudit_TblAudit_Step
TblAudit_Step,Location,nvarchar,50,FOREIGN KEY,FK_TblAudit_TblAudit_Step
TblAudit_Step,ID,int,NULL,FOREIGN KEY,FK_TblAudit_TblAudit_Step
TblAudit_Step,Step_ID,int,NULL,NULL,NULL
TblAudit_Step,Step_Description,nvarchar,1500,NULL,NULL
TblAudit_Step,Step_ResponPerson,nvarchar,150,NULL,NULL
TblAudit_Step,Step_ClosureDueDate,datetime,NULL,NULL,NULL
TblAudit_Step,Step_Status,nvarchar,15,NULL,NULL
TblAudit_Step,Step_CloseDate,datetime,NULL,NULL,NULL
TblAudit_Step,Step_CloseComment,nvarchar,-1,NULL,NULL
TblAudit_Step,UpdateDate,datetime,NULL,NULL,NULL
TblAudit_Step,UpdateBy,nvarchar,150,NULL,NULL
TblAudit_Step,UpdateHistory,ntext,1073741823,NULL,NULL
