server,function,method,graph_path,return_resource,select_fields,select_parameter,notes,source_url
User,list_users,GET,/users,user collection,"id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation,mobilePhone,businessPhones,accountEnabled,userType","?$select=id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation,mobilePhone,businessPhones,accountEnabled,userType",Use with $top/$filter/$orderby as needed.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0
User,get_user,GET,/users/{id | userPrincipalName},user,"id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation,mobilePhone,businessPhones,accountEnabled,userType","?$select=id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation,mobilePhone,businessPhones,accountEnabled,userType",,https://learn.microsoft.com/en-us/graph/api/user-get?view=graph-rest-1.0
User,get_me,GET,/me,user,"id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation,mobilePhone,businessPhones,accountEnabled,userType","?$select=id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation,mobilePhone,businessPhones,accountEnabled,userType",,https://learn.microsoft.com/en-us/graph/api/user-get?view=graph-rest-1.0
User,get_user_manager,GET,/users/{id | userPrincipalName}/manager,directoryObject/user,"id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation","?$select=id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation",Manager returns directoryObject; fields shown are user-focused.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0
User,list_user_direct_reports,GET,/users/{id | userPrincipalName}/directReports,directoryObject collection,"id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation","?$select=id,displayName,userPrincipalName,mail,jobTitle,department,officeLocation",Direct reports return directoryObject; fields shown are user-focused.,https://learn.microsoft.com/en-us/graph/api/resources/user?view=graph-rest-1.0
User,list_user_joined_teams,GET,/users/{id | userPrincipalName}/joinedTeams,team collection,"id,displayName,description,webUrl,isArchived,visibility,createdDateTime","?$select=id,displayName,description,webUrl,isArchived,visibility,createdDateTime",,https://learn.microsoft.com/en-us/graph/api/resources/team?view=graph-rest-1.0
User,list_user_member_of,GET,/users/{id | userPrincipalName}/memberOf,directoryObject collection,"id,displayName,mail,securityEnabled,groupTypes","?$select=id,displayName,mail,securityEnabled,groupTypes",Mainly useful for group membership; type can vary.,https://learn.microsoft.com/en-us/graph/api/resources/group?view=graph-rest-1.0
Calendar,list_calendars,GET,/me/calendars,calendar collection,"id,name,color,changeKey,canShare,canViewPrivateItems,canEdit,isDefaultCalendar,isRemovable,owner","?$select=id,name,color,changeKey,canShare,canViewPrivateItems,canEdit,isDefaultCalendar,isRemovable,owner",,https://learn.microsoft.com/en-us/graph/api/resources/calendar?view=graph-rest-1.0
Calendar,get_calendar,GET,/me/calendars/{calendar-id},calendar,"id,name,color,changeKey,canShare,canViewPrivateItems,canEdit,isDefaultCalendar,isRemovable,owner","?$select=id,name,color,changeKey,canShare,canViewPrivateItems,canEdit,isDefaultCalendar,isRemovable,owner",,https://learn.microsoft.com/en-us/graph/api/resources/calendar?view=graph-rest-1.0
Calendar,list_events,GET,/me/events,event collection,"id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","?$select=id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/resources/event?view=graph-rest-1.0
Calendar,get_event,GET,/me/events/{event-id},event,"id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","?$select=id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/resources/event?view=graph-rest-1.0
Calendar,list_calendar_view,GET,/me/calendarView?startDateTime={start}&endDateTime={end},event collection,"id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","&$select=id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","calendarView already requires startDateTime and endDateTime query params, so append &$select.",https://learn.microsoft.com/en-us/graph/api/user-list-calendarview?view=graph-rest-1.0
Calendar,list_calendar_events,GET,/me/calendars/{calendar-id}/events,event collection,"id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","?$select=id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/calendar-list-events?view=graph-rest-1.0
Calendar,list_event_instances,GET,/me/events/{event-id}/instances?startDateTime={start}&endDateTime={end},event collection,"id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","&$select=id,subject,bodyPreview,organizer,attendees,start,end,location,isAllDay,isCancelled,isOrganizer,responseStatus,webLink,onlineMeeting,createdDateTime,lastModifiedDateTime","instances requires startDateTime and endDateTime query params, so append &$select.",https://learn.microsoft.com/en-us/graph/api/event-list-instances?view=graph-rest-1.0
Calendar,list_event_attachments,GET,/me/events/{event-id}/attachments,attachment collection,"id,name,contentType,size,isInline,lastModifiedDateTime","?$select=id,name,contentType,size,isInline,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/event-list-attachments?view=graph-rest-1.0
Calendar,get_event_attachment,GET,/me/events/{event-id}/attachments/{attachment-id},attachment,"id,name,contentType,size,isInline,lastModifiedDateTime","?$select=id,name,contentType,size,isInline,lastModifiedDateTime",,https://learn.microsoft.com/en-us/graph/api/attachment-get?view=graph-rest-1.0
Mail,list_messages,GET,/me/messages,message collection,"id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink","?$select=id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink",,https://learn.microsoft.com/en-us/graph/api/user-list-messages?view=graph-rest-1.0
Mail,get_message,GET,/me/messages/{message-id},message,"id,subject,body,bodyPreview,uniqueBody,from,sender,toRecipients,ccRecipients,bccRecipients,replyTo,receivedDateTime,sentDateTime,createdDateTime,lastModifiedDateTime,hasAttachments,importance,inferenceClassification,isRead,isDraft,internetMessageId,internetMessageHeaders,conversationId,parentFolderId,categories,flag,webLink","?$select=id,subject,body,bodyPreview,uniqueBody,from,sender,toRecipients,ccRecipients,bccRecipients,replyTo,receivedDateTime,sentDateTime,createdDateTime,lastModifiedDateTime,hasAttachments,importance,inferenceClassification,isRead,isDraft,internetMessageId,internetMessageHeaders,conversationId,parentFolderId,categories,flag,webLink",,https://learn.microsoft.com/en-us/graph/api/message-get?view=graph-rest-1.0
Mail,get_message_mime,GET,/me/messages/{message-id}/$value,MIME content,N/A,N/A,"$value returns MIME content, not a message resource, so $select does not apply.",https://learn.microsoft.com/en-us/graph/api/message-get?view=graph-rest-1.0
Mail,list_messages_in_folder,GET,/me/mailFolders/{folder-id}/messages,message collection,"id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink","?$select=id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink",,https://learn.microsoft.com/en-us/graph/api/mailfolder-list-messages?view=graph-rest-1.0
Mail,search_messages,GET,"/me/messages?$search=""{query}""",message collection,"id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink","&$select=id,subject,from,sender,toRecipients,ccRecipients,receivedDateTime,sentDateTime,bodyPreview,isRead,hasAttachments,importance,conversationId,webLink","$search already uses a query parameter, so append &$select.",https://learn.microsoft.com/en-us/graph/search-query-parameter
