server,function,method,graph_path,return_resource,select_fields,select_parameter,notes,source_url,required_permissions_from_your_list
Service Health,list_service_health_overviews,GET,/admin/serviceAnnouncement/healthOverviews,serviceHealth collection,"id,service,status","?$select=id,service,status",Tenant service health overview. Included because it was not in the previous 48-row CSV.,https://learn.microsoft.com/en-us/graph/api/resources/servicehealth?view=graph-rest-1.0,ServiceHealth.Read
Service Health,get_service_health_overview,GET,/admin/serviceAnnouncement/healthOverviews/{serviceName},serviceHealth,"id,service,status","?$select=id,service,status",Get one service health overview.,https://learn.microsoft.com/en-us/graph/api/resources/servicehealth?view=graph-rest-1.0,ServiceHealth.Read
Service Health,list_service_health_issues,GET,/admin/serviceAnnouncement/issues,serviceHealthIssue collection,"id,title,service,feature,featureGroup,classification,origin,status,impactDescription,startDateTime,endDateTime,lastModifiedDateTime,isResolved","?$select=id,title,service,feature,featureGroup,classification,origin,status,impactDescription,startDateTime,endDateTime,lastModifiedDateTime,isResolved",List service incidents/advisories.,https://learn.microsoft.com/en-us/graph/api/resources/servicehealthissue?view=graph-rest-1.0,ServiceHealth.Read
Service Health,get_service_health_issue,GET,/admin/serviceAnnouncement/issues/{issue-id},serviceHealthIssue,"id,title,service,feature,featureGroup,classification,origin,status,impactDescription,startDateTime,endDateTime,lastModifiedDateTime,isResolved","?$select=id,title,service,feature,featureGroup,classification,origin,status,impactDescription,startDateTime,endDateTime,lastModifiedDateTime,isResolved",Get one service issue.,https://learn.microsoft.com/en-us/graph/api/resources/servicehealthissue?view=graph-rest-1.0,ServiceHealth.Read
Reports,get_email_activity_user_detail,GET,/reports/getEmailActivityUserDetail(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Reports,get_email_activity_counts,GET,/reports/getEmailActivityCounts(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Reports,get_email_activity_user_counts,GET,/reports/getEmailActivityUserCounts(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Reports,get_email_app_usage_user_detail,GET,/reports/getEmailAppUsageUserDetail(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Reports,get_mailbox_usage_detail,GET,/reports/getMailboxUsageDetail(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
Reports,get_sharepoint_site_usage_detail,GET,/reports/getSharePointSiteUsageDetail(period='{period}'),report stream / CSV,N/A,N/A,"Reports endpoints are report functions/streams; $select does not apply. Microsoft Graph report scopes are commonly Reports.Read.All, but this row is mapped from your ActivityReports.Read entry.",https://learn.microsoft.com/en-us/graph/api/resources/report?view=graph-rest-1.0,ActivityReports.Read
